match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
7,SL,2,6.2,4,"Naveen-ul-Haq to Mendis, FOUR runs","he is flying! Carrying on from that Bangladesh game. Full and slightly wide outside off. A bit slow too. Mendis gets low and plays the drive over the infield, on purpose, and Afghanistan are lucky that did not go for six!",4,Naveen-ul-Haq,Mendis,"['fli', 'carri', 'bangladesh', 'game', 'full', 'slightli', 'wide', 'outsid', 'bit', 'slow', 'mend', 'get', 'low', 'play', 'drive', 'infield', 'purpos', 'lucki', 'go']"
7,SL,2,6.3,W,"Naveen-ul-Haq to Mendis, OUT",Massive wicket! Momentum broken. Mendis wants to continue hitting but Naveen has cramped him with a short ball angling into his chest. Attempts the pull but doesn't really have the opportunity to have a full followthrough of the shot. Down deep midwicket's throat.,0,Naveen-ul-Haq,Mendis,"['massiv', 'wicket', 'momentum', 'broken', 'mend', 'want', 'continu', 'hit', 'ha', 'cramp', 'short', 'ball', 'angl', 'hi', 'chest', 'attempt', 'pull', 'doe', ""n't"", 'realli', 'opportun', 'full', 'followthrough', 'shot', 'deep', 'midwicket', 'throat']"
7,SL,2,6.4,0,"Naveen-ul-Haq to Asalanka, no run",full ball outside off. Stays a tad low while angling across. Poked to the off side,0,Naveen-ul-Haq,Asalanka,"['full', 'ball', 'outsid', 'stay', 'tad', 'low', 'angl', 'across', 'poke', 'side']"
7,SL,2,6.5,1w,"Naveen-ul-Haq to Asalanka, 1 wide","full and wide outside off. Too wide, according to the umpire. Through to Gurbaz",1,Naveen-ul-Haq,Asalanka,"['full', 'wide', 'outsid', 'wide', 'accord', 'umpir', 'urban']"
7,SL,2,6.5,1,"Naveen-ul-Haq to Asalanka, 1 run",full outside off stump. Pushed along the carpet to deep extra cover,1,Naveen-ul-Haq,Asalanka,"['full', 'outsid', 'stump', 'push', 'along', 'carpet', 'deep', 'extra', 'cover']"
7,SL,2,6.6,0,"Naveen-ul-Haq to Nissanka, no run","fullish ball skidding into his pads from outside off. But Nissanka brings the bat down, and the ball gets an inside edge onto his pads. Ball rolls away to short third",0,Naveen-ul-Haq,Nissanka,"['fullish', 'ball', 'skid', 'hi', 'pad', 'outsid', 'nissanka', 'bring', 'bat', 'ball', 'get', 'insid', 'edg', 'onto', 'hi', 'pad', 'ball', 'roll', 'away', 'short', 'third']"
7,SL,2,7.1,1,"M Nabi to Asalanka, 1 run",around the stumps. Full on off stump. Worked to deep square leg off the front foot,1,M Nabi,Asalanka,"['around', 'stump', 'full', 'stump', 'work', 'deep', 'squar', 'leg', 'front', 'foot']"
7,SL,2,7.2,2,"M Nabi to Nissanka, 2 runs","over the stumps. Good length ball on a fourth-stump line. Cut to deep backward point, and Mujeeb is a tad slow to get to the ball. Keeper sounds frustrated at the effort.",2,M Nabi,Nissanka,"['stump', 'good', 'length', 'ball', 'thstump', 'line', 'cut', 'deep', 'backward', 'point', 'mujeeb', 'tad', 'slow', 'get', 'ball', 'keeper', 'sound', 'frustrat', 'effort']"
7,SL,2,7.3,1,"M Nabi to Nissanka, 1 run",good length on middle and leg. Offbreak worked to deep backward square leg,1,M Nabi,Nissanka,"['good', 'length', 'middl', 'leg', 'outbreak', 'work', 'deep', 'backward', 'squar', 'leg']"
7,SL,2,7.4,1,"M Nabi to Asalanka, 1 run",around the stumps again. Good length outside off. Sharp turn away. Cut in front of square to the sweeper fielder in the deep,1,M Nabi,Asalanka,"['around', 'stump', 'good', 'length', 'outsid', 'sharp', 'turn', 'away', 'cut', 'front', 'squar', 'sweeper', 'fielder', 'deep']"
